1	153
2	153
3	171
4	171
5	170
6	169
7	176
8	176
9	175
10	174
11	173
12	172
13	178
14	180
15	180
16	183
17	183
18	182
19	181
20	184
21	184
22	166
23	186
24	186
25	187
26	187
27	191
28	191
29	193
30	193
31	192
32	189
33	188
34	163
35	194
36	194
37	197
38	199
39	199
40	198
41	196
42	201
43	202
44	202
45	200
46	203
47	203
48	212
49	212
50	213
51	215
52	215
53	217
54	217
55	216
56	210
57	209
58	208
59	223
60	227
61	228
62	228
63	226
64	225
65	224
66	230
67	230
68	229
69	231
70	231
71	233
72	233
73	235
74	235
75	234
76	236
77	236
78	218
79	238
80	238
81	237
82	239
83	240
84	240
85	243
86	244
87	245
88	245
89	246
90	246
91	241
92	257
93	260
94	260
95	259
96	258
97	265
98	267
99	267
100	266
101	268
102	269
103	269
104	263
105	272
106	272
107	273
108	273
109	274
110	274
111	275
112	276
113	276
114	278
115	279
116	279
117	281
118	283
119	283
120	286
121	286
122	285
123	284
124	280
125	254
126	253
127	289
128	291
129	291
130	290
131	292
132	293
133	293
134	287
135	294
136	295
137	295
138	250
139	249
140	248
141	296
142	298
143	299
144	299
145	297
146	157
147	301
148	301
149	300
150	155
151	154
153	152
154	152
155	154
156	155
157	156
158	157
159	158
160	159
161	160
162	161
163	162
164	163
165	164
166	165
167	166
168	167
169	168
170	169
171	170
172	168
173	172
174	173
175	174
176	175
177	167
178	177
179	178
180	179
181	179
182	181
183	182
184	177
185	165
186	185
187	185
188	164
189	188
190	189
191	190
192	190
193	192
194	162
195	161
196	195
197	196
198	197
199	198
200	195
201	200
202	201
203	160
204	159
205	204
206	205
207	206
208	207
209	208
210	209
211	210
212	211
213	211
214	213
215	214
216	214
217	216
218	207
219	218
220	219
221	220
222	221
223	222
224	223
225	224
226	225
227	226
228	227
229	222
230	229
231	221
232	220
233	232
234	232
235	234
236	219
237	206
238	237
239	205
240	239
241	204
242	241
243	242
244	243
245	244
246	242
247	158
248	247
249	248
250	249
251	250
252	251
253	252
254	253
255	254
256	255
257	256
258	257
259	258
260	259
261	256
262	261
263	262
264	263
265	264
266	265
267	266
268	264
269	268
270	262
271	270
272	271
273	271
274	270
275	261
276	275
277	255
278	277
279	278
280	277
281	280
282	281
283	282
284	282
285	284
286	285
287	252
288	287
289	288
290	289
291	290
292	288
293	292
294	251
295	294
296	247
297	296
298	297
299	298
300	156
301	300
10001	10000002
10002	10000002
10003	10000002
10000002	10000001
152	10000001
