ps	codeGained	ps_name_gained	gained_clusters	gained_genes	codeLost	ps_name_lost	lost_clusters	lost_genes	cval	spec_code
1	10000001	root	7204	1882677	NA	NA	NA	NA	11	28
2	152	node1	2647	391089	NA	NA	NA	NA	11	28
3	154	node3	667	99502	154	node3	51	441	11	28
4	155	node4	515	51497	155	node4	20	120	11	28
5	156	node5	2349	135569	156	node5	14	94	11	28
6	157	node6	666	31539	157	node6	241	1947	11	28
7	158	node7	4311	138045	158	node7	42	325	11	28
8	159	node8	4313	71478	159	node8	472	11227	11	28
9	160	node9	212	2197	160	node9	4810	136631	11	28
10	161	node10	459	4811	161	node10	409	17110	11	28
11	162	node11	101	1876	162	node11	1256	29240	11	28
12	163	node12	172	2106	163	node12	360	10342	11	28
13	164	node13	720	11863	164	node13	600	25941	11	28
14	188	node37	12	61	188	node37	5292	188607	11	28
15	189	node38	144	957	189	node38	1178	39879	11	28
16	190	node39	45	349	190	node39	455	35802	11	28
17	191	node40	27	81	191	node40	1051	68940	11	28
18	28	Cscu	1018	2803	28	Cscu	771	62774	11	28
1	10000001	root	7204	1882677	NA	NA	NA	NA	11	29
2	152	node1	2647	391089	NA	NA	NA	NA	11	29
3	154	node3	667	99502	154	node3	51	441	11	29
4	155	node4	515	51497	155	node4	20	120	11	29
5	156	node5	2349	135569	156	node5	14	94	11	29
6	157	node6	666	31539	157	node6	241	1947	11	29
7	158	node7	4311	138045	158	node7	42	325	11	29
8	159	node8	4313	71478	159	node8	472	11227	11	29
9	160	node9	212	2197	160	node9	4810	136631	11	29
10	161	node10	459	4811	161	node10	409	17110	11	29
11	162	node11	101	1876	162	node11	1256	29240	11	29
12	163	node12	172	2106	163	node12	360	10342	11	29
13	164	node13	720	11863	164	node13	600	25941	11	29
14	188	node37	12	61	188	node37	5292	188607	11	29
15	189	node38	144	957	189	node38	1178	39879	11	29
16	190	node39	45	349	190	node39	455	35802	11	29
17	192	node41	13	97	192	node41	1470	93699	11	29
18	193	node42	4	15	193	node42	632	64304	11	29
19	29	Dpte	1468	2213	29	Dpte	1938	336917	11	29
1	10000001	root	7204	1882677	NA	NA	NA	NA	11	30
2	152	node1	2647	391089	NA	NA	NA	NA	11	30
3	154	node3	667	99502	154	node3	51	441	11	30
4	155	node4	515	51497	155	node4	20	120	11	30
5	156	node5	2349	135569	156	node5	14	94	11	30
6	157	node6	666	31539	157	node6	241	1947	11	30
7	158	node7	4311	138045	158	node7	42	325	11	30
8	159	node8	4313	71478	159	node8	472	11227	11	30
9	160	node9	212	2197	160	node9	4810	136631	11	30
10	161	node10	459	4811	161	node10	409	17110	11	30
11	162	node11	101	1876	162	node11	1256	29240	11	30
12	163	node12	172	2106	163	node12	360	10342	11	30
13	164	node13	720	11863	164	node13	600	25941	11	30
14	188	node37	12	61	188	node37	5292	188607	11	30
15	189	node38	144	957	189	node38	1178	39879	11	30
16	190	node39	45	349	190	node39	455	35802	11	30
17	192	node41	13	97	192	node41	1470	93699	11	30
18	193	node42	4	15	193	node42	632	64304	11	30
19	30	Dsil	2402	5969	30	Dsil	372	58460	11	30
1	10000001	root	7204	1882677	NA	NA	NA	NA	11	31
2	152	node1	2647	391089	NA	NA	NA	NA	11	31
3	154	node3	667	99502	154	node3	51	441	11	31
4	155	node4	515	51497	155	node4	20	120	11	31
5	156	node5	2349	135569	156	node5	14	94	11	31
6	157	node6	666	31539	157	node6	241	1947	11	31
7	158	node7	4311	138045	158	node7	42	325	11	31
8	159	node8	4313	71478	159	node8	472	11227	11	31
9	160	node9	212	2197	160	node9	4810	136631	11	31
10	161	node10	459	4811	161	node10	409	17110	11	31
11	162	node11	101	1876	162	node11	1256	29240	11	31
12	163	node12	172	2106	163	node12	360	10342	11	31
13	164	node13	720	11863	164	node13	600	25941	11	31
14	188	node37	12	61	188	node37	5292	188607	11	31
15	189	node38	144	957	189	node38	1178	39879	11	31
16	190	node39	45	349	190	node39	455	35802	11	31
17	192	node41	13	97	192	node41	1470	93699	11	31
18	31	Popi	433	2140	31	Popi	2328	392807	11	31
1	10000001	root	7204	1882677	NA	NA	NA	NA	11	32
2	152	node1	2647	391089	NA	NA	NA	NA	11	32
3	154	node3	667	99502	154	node3	51	441	11	32
4	155	node4	515	51497	155	node4	20	120	11	32
5	156	node5	2349	135569	156	node5	14	94	11	32
6	157	node6	666	31539	157	node6	241	1947	11	32
7	158	node7	4311	138045	158	node7	42	325	11	32
8	159	node8	4313	71478	159	node8	472	11227	11	32
9	160	node9	212	2197	160	node9	4810	136631	11	32
10	161	node10	459	4811	161	node10	409	17110	11	32
11	162	node11	101	1876	162	node11	1256	29240	11	32
12	163	node12	172	2106	163	node12	360	10342	11	32
13	164	node13	720	11863	164	node13	600	25941	11	32
14	188	node37	12	61	188	node37	5292	188607	11	32
15	189	node38	144	957	189	node38	1178	39879	11	32
16	32	Lpol	990	1265	32	Lpol	2247	148484	11	32
1	10000001	root	7204	1882677	NA	NA	NA	NA	11	33
2	152	node1	2647	391089	NA	NA	NA	NA	11	33
3	154	node3	667	99502	154	node3	51	441	11	33
4	155	node4	515	51497	155	node4	20	120	11	33
5	156	node5	2349	135569	156	node5	14	94	11	33
6	157	node6	666	31539	157	node6	241	1947	11	33
7	158	node7	4311	138045	158	node7	42	325	11	33
8	159	node8	4313	71478	159	node8	472	11227	11	33
9	160	node9	212	2197	160	node9	4810	136631	11	33
10	161	node10	459	4811	161	node10	409	17110	11	33
11	162	node11	101	1876	162	node11	1256	29240	11	33
12	163	node12	172	2106	163	node12	360	10342	11	33
13	164	node13	720	11863	164	node13	600	25941	11	33
14	188	node37	12	61	188	node37	5292	188607	11	33
15	33	Nstr	1433	2148	33	Nstr	4769	576238	11	33
1	10000001	root	7204	1882677	NA	NA	NA	NA	11	34
2	152	node1	2647	391089	NA	NA	NA	NA	11	34
3	154	node3	667	99502	154	node3	51	441	11	34
4	155	node4	515	51497	155	node4	20	120	11	34
5	156	node5	2349	135569	156	node5	14	94	11	34
6	157	node6	666	31539	157	node6	241	1947	11	34
7	158	node7	4311	138045	158	node7	42	325	11	34
8	159	node8	4313	71478	159	node8	472	11227	11	34
9	160	node9	212	2197	160	node9	4810	136631	11	34
10	161	node10	459	4811	161	node10	409	17110	11	34
11	162	node11	101	1876	162	node11	1256	29240	11	34
12	163	node12	172	2106	163	node12	360	10342	11	34
13	34	Ebro	4594	24941	34	Ebro	8004	370615	11	34
1	10000001	root	7204	1882677	NA	NA	NA	NA	11	35
2	152	node1	2647	391089	NA	NA	NA	NA	11	35
3	154	node3	667	99502	154	node3	51	441	11	35
4	155	node4	515	51497	155	node4	20	120	11	35
5	156	node5	2349	135569	156	node5	14	94	11	35
6	157	node6	666	31539	157	node6	241	1947	11	35
7	158	node7	4311	138045	158	node7	42	325	11	35
8	159	node8	4313	71478	159	node8	472	11227	11	35
9	160	node9	212	2197	160	node9	4810	136631	11	35
10	161	node10	459	4811	161	node10	409	17110	11	35
11	162	node11	101	1876	162	node11	1256	29240	11	35
12	194	node43	1246	4119	194	node43	10106	680821	11	35
13	35	Hexe	2006	3033	35	Hexe	1172	228599	11	35
1	10000001	root	7204	1882677	NA	NA	NA	NA	11	36
2	152	node1	2647	391089	NA	NA	NA	NA	11	36
3	154	node3	667	99502	154	node3	51	441	11	36
4	155	node4	515	51497	155	node4	20	120	11	36
5	156	node5	2349	135569	156	node5	14	94	11	36
6	157	node6	666	31539	157	node6	241	1947	11	36
7	158	node7	4311	138045	158	node7	42	325	11	36
8	159	node8	4313	71478	159	node8	472	11227	11	36
9	160	node9	212	2197	160	node9	4810	136631	11	36
10	161	node10	459	4811	161	node10	409	17110	11	36
11	162	node11	101	1876	162	node11	1256	29240	11	36
12	194	node43	1246	4119	194	node43	10106	680821	11	36
13	36	Rvar	5523	7777	36	Rvar	350	41876	11	36
1	10000001	root	7204	1882677	NA	NA	NA	NA	11	37
2	152	node1	2647	391089	NA	NA	NA	NA	11	37
3	154	node3	667	99502	154	node3	51	441	11	37
4	155	node4	515	51497	155	node4	20	120	11	37
5	156	node5	2349	135569	156	node5	14	94	11	37
6	157	node6	666	31539	157	node6	241	1947	11	37
7	158	node7	4311	138045	158	node7	42	325	11	37
8	159	node8	4313	71478	159	node8	472	11227	11	37
9	160	node9	212	2197	160	node9	4810	136631	11	37
10	161	node10	459	4811	161	node10	409	17110	11	37
11	195	node44	2762	26561	195	node44	8918	499452	11	37
12	196	node45	187	1081	196	node45	1062	51502	11	37
13	197	node46	21	112	197	node46	1439	172761	11	37
14	37	Hali	522	821	37	Hali	2649	300440	11	37
1	10000001	root	7204	1882677	NA	NA	NA	NA	11	38
2	152	node1	2647	391089	NA	NA	NA	NA	11	38
3	154	node3	667	99502	154	node3	51	441	11	38
4	155	node4	515	51497	155	node4	20	120	11	38
5	156	node5	2349	135569	156	node5	14	94	11	38
6	157	node6	666	31539	157	node6	241	1947	11	38
7	158	node7	4311	138045	158	node7	42	325	11	38
8	159	node8	4313	71478	159	node8	472	11227	11	38
9	160	node9	212	2197	160	node9	4810	136631	11	38
10	161	node10	459	4811	161	node10	409	17110	11	38
11	195	node44	2762	26561	195	node44	8918	499452	11	38
12	196	node45	187	1081	196	node45	1062	51502	11	38
13	197	node46	21	112	197	node46	1439	172761	11	38
14	198	node47	355	1924	198	node47	947	22939	11	38
15	199	node48	424	1703	199	node48	501	38367	11	38
16	38	Cele	3212	6584	38	Cele	710	61639	11	38
1	10000001	root	7204	1882677	NA	NA	NA	NA	11	39
2	152	node1	2647	391089	NA	NA	NA	NA	11	39
3	154	node3	667	99502	154	node3	51	441	11	39
4	155	node4	515	51497	155	node4	20	120	11	39
5	156	node5	2349	135569	156	node5	14	94	11	39
6	157	node6	666	31539	157	node6	241	1947	11	39
7	158	node7	4311	138045	158	node7	42	325	11	39
8	159	node8	4313	71478	159	node8	472	11227	11	39
9	160	node9	212	2197	160	node9	4810	136631	11	39
10	161	node10	459	4811	161	node10	409	17110	11	39
11	195	node44	2762	26561	195	node44	8918	499452	11	39
12	196	node45	187	1081	196	node45	1062	51502	11	39
13	197	node46	21	112	197	node46	1439	172761	11	39
14	198	node47	355	1924	198	node47	947	22939	11	39
15	199	node48	424	1703	199	node48	501	38367	11	39
16	39	Dcor	4280	9084	39	Dcor	629	63098	11	39
1	10000001	root	7204	1882677	NA	NA	NA	NA	11	40
2	152	node1	2647	391089	NA	NA	NA	NA	11	40
3	154	node3	667	99502	154	node3	51	441	11	40
4	155	node4	515	51497	155	node4	20	120	11	40
5	156	node5	2349	135569	156	node5	14	94	11	40
6	157	node6	666	31539	157	node6	241	1947	11	40
7	158	node7	4311	138045	158	node7	42	325	11	40
8	159	node8	4313	71478	159	node8	472	11227	11	40
9	160	node9	212	2197	160	node9	4810	136631	11	40
10	161	node10	459	4811	161	node10	409	17110	11	40
11	195	node44	2762	26561	195	node44	8918	499452	11	40
12	196	node45	187	1081	196	node45	1062	51502	11	40
13	197	node46	21	112	197	node46	1439	172761	11	40
14	198	node47	355	1924	198	node47	947	22939	11	40
15	40	Ppac	6202	12200	40	Ppac	1811	209864	11	40
1	10000001	root	7204	1882677	NA	NA	NA	NA	11	41
2	152	node1	2647	391089	NA	NA	NA	NA	11	41
3	154	node3	667	99502	154	node3	51	441	11	41
4	155	node4	515	51497	155	node4	20	120	11	41
5	156	node5	2349	135569	156	node5	14	94	11	41
6	157	node6	666	31539	157	node6	241	1947	11	41
7	158	node7	4311	138045	158	node7	42	325	11	41
8	159	node8	4313	71478	159	node8	472	11227	11	41
9	160	node9	212	2197	160	node9	4810	136631	11	41
10	161	node10	459	4811	161	node10	409	17110	11	41
11	195	node44	2762	26561	195	node44	8918	499452	11	41
12	196	node45	187	1081	196	node45	1062	51502	11	41
13	41	Psam	6474	11907	41	Psam	2264	63124	11	41
1	10000001	root	7204	1882677	NA	NA	NA	NA	11	42
2	152	node1	2647	391089	NA	NA	NA	NA	11	42
3	154	node3	667	99502	154	node3	51	441	11	42
4	155	node4	515	51497	155	node4	20	120	11	42
5	156	node5	2349	135569	156	node5	14	94	11	42
6	157	node6	666	31539	157	node6	241	1947	11	42
7	158	node7	4311	138045	158	node7	42	325	11	42
8	159	node8	4313	71478	159	node8	472	11227	11	42
9	160	node9	212	2197	160	node9	4810	136631	11	42
10	161	node10	459	4811	161	node10	409	17110	11	42
11	195	node44	2762	26561	195	node44	8918	499452	11	42
12	200	node49	63	311	200	node49	1765	202748	11	42
13	201	node50	221	1159	201	node50	253	21365	11	42
14	42	Anan	4746	9664	42	Anan	1663	88669	11	42
1	10000001	root	7204	1882677	NA	NA	NA	NA	11	43
2	152	node1	2647	391089	NA	NA	NA	NA	11	43
3	154	node3	667	99502	154	node3	51	441	11	43
4	155	node4	515	51497	155	node4	20	120	11	43
5	156	node5	2349	135569	156	node5	14	94	11	43
6	157	node6	666	31539	157	node6	241	1947	11	43
7	158	node7	4311	138045	158	node7	42	325	11	43
8	159	node8	4313	71478	159	node8	472	11227	11	43
9	160	node9	212	2197	160	node9	4810	136631	11	43
10	161	node10	459	4811	161	node10	409	17110	11	43
11	195	node44	2762	26561	195	node44	8918	499452	11	43
12	200	node49	63	311	200	node49	1765	202748	11	43
13	201	node50	221	1159	201	node50	253	21365	11	43
14	202	node51	371	1778	202	node51	1164	92054	11	43
15	43	Pred	5061	9689	43	Pred	958	55505	11	43
1	10000001	root	7204	1882677	NA	NA	NA	NA	11	44
2	152	node1	2647	391089	NA	NA	NA	NA	11	44
3	154	node3	667	99502	154	node3	51	441	11	44
4	155	node4	515	51497	155	node4	20	120	11	44
5	156	node5	2349	135569	156	node5	14	94	11	44
6	157	node6	666	31539	157	node6	241	1947	11	44
7	158	node7	4311	138045	158	node7	42	325	11	44
8	159	node8	4313	71478	159	node8	472	11227	11	44
9	160	node9	212	2197	160	node9	4810	136631	11	44
10	161	node10	459	4811	161	node10	409	17110	11	44
11	195	node44	2762	26561	195	node44	8918	499452	11	44
12	200	node49	63	311	200	node49	1765	202748	11	44
13	201	node50	221	1159	201	node50	253	21365	11	44
14	202	node51	371	1778	202	node51	1164	92054	11	44
15	44	Pdav	2546	8137	44	Pdav	2604	341282	11	44
1	10000001	root	7204	1882677	NA	NA	NA	NA	11	45
2	152	node1	2647	391089	NA	NA	NA	NA	11	45
3	154	node3	667	99502	154	node3	51	441	11	45
4	155	node4	515	51497	155	node4	20	120	11	45
5	156	node5	2349	135569	156	node5	14	94	11	45
6	157	node6	666	31539	157	node6	241	1947	11	45
7	158	node7	4311	138045	158	node7	42	325	11	45
8	159	node8	4313	71478	159	node8	472	11227	11	45
9	160	node9	212	2197	160	node9	4810	136631	11	45
10	161	node10	459	4811	161	node10	409	17110	11	45
11	195	node44	2762	26561	195	node44	8918	499452	11	45
12	200	node49	63	311	200	node49	1765	202748	11	45
13	45	Rhab	1867	3229	45	Rhab	3681	277962	11	45
1	10000001	root	7204	1882677	NA	NA	NA	NA	11	46
2	152	node1	2647	391089	NA	NA	NA	NA	11	46
3	154	node3	667	99502	154	node3	51	441	11	46
4	155	node4	515	51497	155	node4	20	120	11	46
5	156	node5	2349	135569	156	node5	14	94	11	46
6	157	node6	666	31539	157	node6	241	1947	11	46
7	158	node7	4311	138045	158	node7	42	325	11	46
8	159	node8	4313	71478	159	node8	472	11227	11	46
9	160	node9	212	2197	160	node9	4810	136631	11	46
10	203	node52	76	227	203	node52	8912	334165	11	46
11	46	Tuco	112	209	46	Tuco	1421	218728	11	46
1	10000001	root	7204	1882677	NA	NA	NA	NA	11	47
2	152	node1	2647	391089	NA	NA	NA	NA	11	47
3	154	node3	667	99502	154	node3	51	441	11	47
4	155	node4	515	51497	155	node4	20	120	11	47
5	156	node5	2349	135569	156	node5	14	94	11	47
6	157	node6	666	31539	157	node6	241	1947	11	47
7	158	node7	4311	138045	158	node7	42	325	11	47
8	159	node8	4313	71478	159	node8	472	11227	11	47
9	160	node9	212	2197	160	node9	4810	136631	11	47
10	203	node52	76	227	203	node52	8912	334165	11	47
11	47	Pcau	994	1181	47	Pcau	1037	97484	11	47
1	10000001	root	7204	1882677	NA	NA	NA	NA	11	48
2	152	node1	2647	391089	NA	NA	NA	NA	11	48
3	154	node3	667	99502	154	node3	51	441	11	48
4	155	node4	515	51497	155	node4	20	120	11	48
5	156	node5	2349	135569	156	node5	14	94	11	48
6	157	node6	666	31539	157	node6	241	1947	11	48
7	158	node7	4311	138045	158	node7	42	325	11	48
8	159	node8	4313	71478	159	node8	472	11227	11	48
9	204	node53	525	9336	204	node53	1894	35028	11	48
10	205	node54	397	7840	205	node54	1673	33405	11	48
11	206	node55	685	10365	206	node55	797	14803	11	48
12	207	node56	939	10622	207	node56	648	12093	11	48
13	208	node57	63	538	208	node57	4426	111114	11	48
14	209	node58	347	2908	209	node58	768	19580	11	48
15	210	node59	76	547	210	node59	1013	41342	11	48
16	211	node60	233	1609	211	node60	287	10914	11	48
17	212	node61	615	2559	212	node61	3689	164016	11	48
18	48	Pech	2774	5354	48	Pech	2131	189296	11	48
1	10000001	root	7204	1882677	NA	NA	NA	NA	11	49
2	152	node1	2647	391089	NA	NA	NA	NA	11	49
3	154	node3	667	99502	154	node3	51	441	11	49
4	155	node4	515	51497	155	node4	20	120	11	49
5	156	node5	2349	135569	156	node5	14	94	11	49
6	157	node6	666	31539	157	node6	241	1947	11	49
7	158	node7	4311	138045	158	node7	42	325	11	49
8	159	node8	4313	71478	159	node8	472	11227	11	49
9	204	node53	525	9336	204	node53	1894	35028	11	49
10	205	node54	397	7840	205	node54	1673	33405	11	49
11	206	node55	685	10365	206	node55	797	14803	11	49
12	207	node56	939	10622	207	node56	648	12093	11	49
13	208	node57	63	538	208	node57	4426	111114	11	49
14	209	node58	347	2908	209	node58	768	19580	11	49
15	210	node59	76	547	210	node59	1013	41342	11	49
16	211	node60	233	1609	211	node60	287	10914	11	49
17	212	node61	615	2559	212	node61	3689	164016	11	49
18	49	Lluy	9865	12146	49	Lluy	412	29481	11	49
1	10000001	root	7204	1882677	NA	NA	NA	NA	11	50
2	152	node1	2647	391089	NA	NA	NA	NA	11	50
3	154	node3	667	99502	154	node3	51	441	11	50
4	155	node4	515	51497	155	node4	20	120	11	50
5	156	node5	2349	135569	156	node5	14	94	11	50
6	157	node6	666	31539	157	node6	241	1947	11	50
7	158	node7	4311	138045	158	node7	42	325	11	50
8	159	node8	4313	71478	159	node8	472	11227	11	50
9	204	node53	525	9336	204	node53	1894	35028	11	50
10	205	node54	397	7840	205	node54	1673	33405	11	50
11	206	node55	685	10365	206	node55	797	14803	11	50
12	207	node56	939	10622	207	node56	648	12093	11	50
13	208	node57	63	538	208	node57	4426	111114	11	50
14	209	node58	347	2908	209	node58	768	19580	11	50
15	210	node59	76	547	210	node59	1013	41342	11	50
16	211	node60	233	1609	211	node60	287	10914	11	50
17	213	node62	110	726	213	node62	1299	38283	11	50
18	50	Ctel	3091	6142	50	Ctel	2660	131273	11	50
1	10000001	root	7204	1882677	NA	NA	NA	NA	11	51
2	152	node1	2647	391089	NA	NA	NA	NA	11	51
3	154	node3	667	99502	154	node3	51	441	11	51
4	155	node4	515	51497	155	node4	20	120	11	51
5	156	node5	2349	135569	156	node5	14	94	11	51
6	157	node6	666	31539	157	node6	241	1947	11	51
7	158	node7	4311	138045	158	node7	42	325	11	51
8	159	node8	4313	71478	159	node8	472	11227	11	51
9	204	node53	525	9336	204	node53	1894	35028	11	51
10	205	node54	397	7840	205	node54	1673	33405	11	51
11	206	node55	685	10365	206	node55	797	14803	11	51
12	207	node56	939	10622	207	node56	648	12093	11	51
13	208	node57	63	538	208	node57	4426	111114	11	51
14	209	node58	347	2908	209	node58	768	19580	11	51
15	210	node59	76	547	210	node59	1013	41342	11	51
16	211	node60	233	1609	211	node60	287	10914	11	51
17	213	node62	110	726	213	node62	1299	38283	11	51
18	214	node63	257	1754	214	node63	1906	105163	11	51
19	215	node64	934	3626	215	node64	1214	51551	11	51
20	51	Eand	1988	3895	51	Eand	1353	106763	11	51
1	10000001	root	7204	1882677	NA	NA	NA	NA	11	52
2	152	node1	2647	391089	NA	NA	NA	NA	11	52
3	154	node3	667	99502	154	node3	51	441	11	52
4	155	node4	515	51497	155	node4	20	120	11	52
5	156	node5	2349	135569	156	node5	14	94	11	52
6	157	node6	666	31539	157	node6	241	1947	11	52
7	158	node7	4311	138045	158	node7	42	325	11	52
8	159	node8	4313	71478	159	node8	472	11227	11	52
9	204	node53	525	9336	204	node53	1894	35028	11	52
10	205	node54	397	7840	205	node54	1673	33405	11	52
11	206	node55	685	10365	206	node55	797	14803	11	52
12	207	node56	939	10622	207	node56	648	12093	11	52
13	208	node57	63	538	208	node57	4426	111114	11	52
14	209	node58	347	2908	209	node58	768	19580	11	52
15	210	node59	76	547	210	node59	1013	41342	11	52
16	211	node60	233	1609	211	node60	287	10914	11	52
17	213	node62	110	726	213	node62	1299	38283	11	52
18	214	node63	257	1754	214	node63	1906	105163	11	52
19	215	node64	934	3626	215	node64	1214	51551	11	52
20	52	Mvul	10455	14126	52	Mvul	744	79703	11	52
1	10000001	root	7204	1882677	NA	NA	NA	NA	11	53
2	152	node1	2647	391089	NA	NA	NA	NA	11	53
3	154	node3	667	99502	154	node3	51	441	11	53
4	155	node4	515	51497	155	node4	20	120	11	53
5	156	node5	2349	135569	156	node5	14	94	11	53
6	157	node6	666	31539	157	node6	241	1947	11	53
7	158	node7	4311	138045	158	node7	42	325	11	53
8	159	node8	4313	71478	159	node8	472	11227	11	53
9	204	node53	525	9336	204	node53	1894	35028	11	53
10	205	node54	397	7840	205	node54	1673	33405	11	53
11	206	node55	685	10365	206	node55	797	14803	11	53
12	207	node56	939	10622	207	node56	648	12093	11	53
13	208	node57	63	538	208	node57	4426	111114	11	53
14	209	node58	347	2908	209	node58	768	19580	11	53
15	210	node59	76	547	210	node59	1013	41342	11	53
16	211	node60	233	1609	211	node60	287	10914	11	53
17	213	node62	110	726	213	node62	1299	38283	11	53
18	214	node63	257	1754	214	node63	1906	105163	11	53
19	216	node65	415	1798	216	node65	2381	203100	11	53
20	217	node66	567	1549	217	node66	873	105206	11	53
21	53	Hman	1556	1960	53	Hman	548	71426	11	53
1	10000001	root	7204	1882677	NA	NA	NA	NA	11	54
2	152	node1	2647	391089	NA	NA	NA	NA	11	54
3	154	node3	667	99502	154	node3	51	441	11	54
4	155	node4	515	51497	155	node4	20	120	11	54
5	156	node5	2349	135569	156	node5	14	94	11	54
6	157	node6	666	31539	157	node6	241	1947	11	54
7	158	node7	4311	138045	158	node7	42	325	11	54
8	159	node8	4313	71478	159	node8	472	11227	11	54
9	204	node53	525	9336	204	node53	1894	35028	11	54
10	205	node54	397	7840	205	node54	1673	33405	11	54
11	206	node55	685	10365	206	node55	797	14803	11	54
12	207	node56	939	10622	207	node56	648	12093	11	54
13	208	node57	63	538	208	node57	4426	111114	11	54
14	209	node58	347	2908	209	node58	768	19580	11	54
15	210	node59	76	547	210	node59	1013	41342	11	54
16	211	node60	233	1609	211	node60	287	10914	11	54
17	213	node62	110	726	213	node62	1299	38283	11	54
18	214	node63	257	1754	214	node63	1906	105163	11	54
19	216	node65	415	1798	216	node65	2381	203100	11	54
20	217	node66	567	1549	217	node66	873	105206	11	54
21	54	Hmed	2917	3071	54	Hmed	1605	184768	11	54
1	10000001	root	7204	1882677	NA	NA	NA	NA	11	55
2	152	node1	2647	391089	NA	NA	NA	NA	11	55
3	154	node3	667	99502	154	node3	51	441	11	55
4	155	node4	515	51497	155	node4	20	120	11	55
5	156	node5	2349	135569	156	node5	14	94	11	55
6	157	node6	666	31539	157	node6	241	1947	11	55
7	158	node7	4311	138045	158	node7	42	325	11	55
8	159	node8	4313	71478	159	node8	472	11227	11	55
9	204	node53	525	9336	204	node53	1894	35028	11	55
10	205	node54	397	7840	205	node54	1673	33405	11	55
11	206	node55	685	10365	206	node55	797	14803	11	55
12	207	node56	939	10622	207	node56	648	12093	11	55
13	208	node57	63	538	208	node57	4426	111114	11	55
14	209	node58	347	2908	209	node58	768	19580	11	55
15	210	node59	76	547	210	node59	1013	41342	11	55
16	211	node60	233	1609	211	node60	287	10914	11	55
17	213	node62	110	726	213	node62	1299	38283	11	55
18	214	node63	257	1754	214	node63	1906	105163	11	55
19	216	node65	415	1798	216	node65	2381	203100	11	55
20	55	Hrob	3358	4597	55	Hrob	1263	114494	11	55
1	10000001	root	7204	1882677	NA	NA	NA	NA	11	56
2	152	node1	2647	391089	NA	NA	NA	NA	11	56
3	154	node3	667	99502	154	node3	51	441	11	56
4	155	node4	515	51497	155	node4	20	120	11	56
5	156	node5	2349	135569	156	node5	14	94	11	56
6	157	node6	666	31539	157	node6	241	1947	11	56
7	158	node7	4311	138045	158	node7	42	325	11	56
8	159	node8	4313	71478	159	node8	472	11227	11	56
9	204	node53	525	9336	204	node53	1894	35028	11	56
10	205	node54	397	7840	205	node54	1673	33405	11	56
11	206	node55	685	10365	206	node55	797	14803	11	56
12	207	node56	939	10622	207	node56	648	12093	11	56
13	208	node57	63	538	208	node57	4426	111114	11	56
14	209	node58	347	2908	209	node58	768	19580	11	56
15	210	node59	76	547	210	node59	1013	41342	11	56
16	56	Dgyr	1246	1860	56	Dgyr	6521	465723	11	56
1	10000001	root	7204	1882677	NA	NA	NA	NA	11	57
2	152	node1	2647	391089	NA	NA	NA	NA	11	57
3	154	node3	667	99502	154	node3	51	441	11	57
4	155	node4	515	51497	155	node4	20	120	11	57
5	156	node5	2349	135569	156	node5	14	94	11	57
6	157	node6	666	31539	157	node6	241	1947	11	57
7	158	node7	4311	138045	158	node7	42	325	11	57
8	159	node8	4313	71478	159	node8	472	11227	11	57
9	204	node53	525	9336	204	node53	1894	35028	11	57
10	205	node54	397	7840	205	node54	1673	33405	11	57
11	206	node55	685	10365	206	node55	797	14803	11	57
12	207	node56	939	10622	207	node56	648	12093	11	57
13	208	node57	63	538	208	node57	4426	111114	11	57
14	209	node58	347	2908	209	node58	768	19580	11	57
15	57	Pesc	3882	6258	57	Pesc	4504	160875	11	57
1	10000001	root	7204	1882677	NA	NA	NA	NA	11	58
2	152	node1	2647	391089	NA	NA	NA	NA	11	58
3	154	node3	667	99502	154	node3	51	441	11	58
4	155	node4	515	51497	155	node4	20	120	11	58
5	156	node5	2349	135569	156	node5	14	94	11	58
6	157	node6	666	31539	157	node6	241	1947	11	58
7	158	node7	4311	138045	158	node7	42	325	11	58
8	159	node8	4313	71478	159	node8	472	11227	11	58
9	204	node53	525	9336	204	node53	1894	35028	11	58
10	205	node54	397	7840	205	node54	1673	33405	11	58
11	206	node55	685	10365	206	node55	797	14803	11	58
12	207	node56	939	10622	207	node56	648	12093	11	58
13	208	node57	63	538	208	node57	4426	111114	11	58
14	58	Llon	2570	4420	58	Llon	6054	227293	11	58
1	10000001	root	7204	1882677	NA	NA	NA	NA	11	59
2	152	node1	2647	391089	NA	NA	NA	NA	11	59
3	154	node3	667	99502	154	node3	51	441	11	59
4	155	node4	515	51497	155	node4	20	120	11	59
5	156	node5	2349	135569	156	node5	14	94	11	59
6	157	node6	666	31539	157	node6	241	1947	11	59
7	158	node7	4311	138045	158	node7	42	325	11	59
8	159	node8	4313	71478	159	node8	472	11227	11	59
9	204	node53	525	9336	204	node53	1894	35028	11	59
10	205	node54	397	7840	205	node54	1673	33405	11	59
11	206	node55	685	10365	206	node55	797	14803	11	59
12	207	node56	939	10622	207	node56	648	12093	11	59
13	218	node67	636	7318	218	node67	3428	70203	11	59
14	219	node68	139	1517	219	node68	1178	22924	11	59
15	220	node69	483	5801	220	node69	541	17794	11	59
16	221	node70	347	2756	221	node70	1764	44168	11	59
17	222	node71	194	1363	222	node71	638	17535	11	59
18	223	node72	112	950	223	node72	2266	94412	11	59
19	59	Mcor	2969	4963	59	Mcor	2386	129253	11	59
